Title,Short Intro,Category,Sub-Category,Course Type,Language,Rating,Number of viewers,Site,Skills,Instructors,Duration_Hours
Machine Learning Specialization,"#BreakIntoAI with Machine Learning Specialization. Master fundamental AI concepts and develop practical machine learning skills in the beginner-friendly, 3-course program by AI visionary Andrew Ng",Data Science,Machine Learning,Specialization,English,4.9,10438.0,Coursera,"Decision Trees, Artificial Neural Network, Logistic Regression, Recommender Systems, Linear Regression, Regularization to Avoid Overfitting, Gradient Descent, Supervised Learning, Logistic Regression for Classification, Xgboost, Tensorflow, Tree Ensembles, ","Andrew Ng ,Eddy Shyu ,Aarti Bagul ,Geoff Ladwig ,",60.0
Introduction to Data Science Specialization,Launch your career in data science. Gain foundational data science skills to prepare for a career or further advanced learning in data science. ,Data Science,Data Analysis,Specialization,English,4.7,11927.0,Coursera,"Data Science, Relational Database Management System (RDBMS), Cloud Databases, Python Programming, SQL, Deep Learning, Machine Learning, Big Data, Data Mining, Github, Jupyter notebooks, Rstudio, ","Rav Ahuja ,Alex Aklson ,Aije Egwaikhide ,Svetlana Levitan ,Romeo Kienzler ,Polong Lin ,Hima Vasudevan ,",100.0
Data Science Fundamentals with Python and SQL Specialization,"Build the Foundation for your Data Science career. Develop hands-on experience with Jupyter, Python, SQL. Perform Statistical Analysis on real data sets.",Data Science,Data Analysis,Specialization,English,4.6,2295.0,Coursera,"Data Science, Github, Python Programming, Jupyter notebooks, Rstudio, Data Analysis, Pandas, Numpy, Probability And Statistics, Regression Analysis, Data Visualization (DataViz), Statistical Hypothesis Testing, ","Aije Egwaikhide ,Svetlana Levitan ,Romeo Kienzler ,Joseph Santarcangelo ,Azim Hirjani ,Murtaza Haider ,Rav Ahuja ,Hima Vasudevan ,",140.0
Key Technologies for Business Specialization,Get Ahead with Key Business Technologies. Gain Foundational Understanding of Key Technologies Driving Modern Businesses ,Business,Business Essentials,Specialization,English,4.7,1232.0,Coursera,"Data Science, Artificial Intelligence (AI), Business, Cloud Computing, technology, Cloud Native, Devops, Iaas PaaS Saas, Hybrid Multicloud, Deep Learning, Jobs, Machine Learning, ","Rav Ahuja ,Alex Aklson ,",60.0
Deep Learning Specialization,Become a Machine Learning expert. Master the fundamentals of deep learning and break into AI. Recently updated with cutting-edge techniques!,Data Science,Machine Learning,Specialization,English,4.9,129253.0,Coursera,"Artificial Neural Network, Convolutional Neural Network, Tensorflow, Recurrent Neural Network, Transformers, Deep Learning, Backpropagation, Python Programming, Neural Network Architecture, Mathematical Optimization, hyperparameter tuning, Inductive Transfer, ","Andrew Ng ,Kian Katanforoosh ,Younes Bensouda Mourri ,",100.0
IBM & Darden Digital Strategy Specialization,Get ahead with key business and technical skills. Understand how current technologies are changing industry and create strategy to transform your business,Data Science,Machine Learning,Specialization,English,4.8,262.0,Coursera,"Data Science, Digital transformation, Artificial Intelligence (AI), Business Strategy, Cloud Computing, Deep Learning, Jobs, Machine Learning, strategy, Swot Analysis, Value Proposition, Competitiveness, ","Rav Ahuja ,Jared Harris ,Michael Lenox ,Rajkumar Venkatesan ,Yael Grushka-Cockayne  ,",140.0
IBM AI Foundations for Business Specialization,No description available,Data Science,Machine Learning,Specialization,English,4.7,1076.0,Coursera,"Data Science, Artificial Intelligence (AI), Information Technology (IT) Architecture, Data Architecture, Leadership, Deep Learning, Jobs, Machine Learning, Big Data, Data Mining, Management, Analytics, ","Rav Ahuja ,Alex Aklson ,Mark J Grover ,Ray Lopez, Ph.D. ,",40.0
Data Analysis and Visualization Foundations Specialization,"Get ahead w/ Data Analysis & Visualization skills. Enhance your career by learning to analyze data using Excel spreadsheets, and create stunning visualizations and interactive dashboards with Cognos.",Data Science,Data Analysis,Specialization,English,4.8,2171.0,Coursera,"Data Science, Spreadsheet, Microsoft Excel, Data Analysis, Data Visualization (DataViz), Pivot Table, IBM Cognos Analytics, Dashboard, ","Rav Ahuja ,Sandip Saha Joy ,Steve Ryan ,Kevin McFaul ,Skills Network ,",80.0
Applied Data Science Specialization,"Get hands-on skills for a career in data science. Learn Python, analyze and visualize data. Apply your skills to data science and machine learning. ",Data Science,Machine Learning,Specialization,English,4.6,7175.0,Coursera,"Data Science, Python Programming, Data Analysis, Pandas, Numpy, Jupyter notebooks, Predictive Modelling, Data Visualization (DataViz), Model Selection, Dashboards and Charts, dash, Matplotlib, ","Joseph Santarcangelo ,Azim Hirjani ,Saishruthi Swaminathan ,Yan Luo ,",120.0
Data Engineering Foundations Specialization,"Build the Foundation for a Data Engineering Career. Develop hands-on experience with Python, SQL, and Relational Databases and master the fundamentals of the Data Engineering ecosystem. ",Information Technology,Data Management,Specialization,English,4.7,922.0,Coursera,"Information Engineering, Python Programming, Extraction, Transformation And Loading (ETL), Relational Database Management System (RDBMS), SQL, Data Science, Database (DBMS), NoSQL, Data Analysis, Pandas, Numpy, Jupyter notebooks, ","Rav Ahuja ,Priya Kapoor ,Joseph Santarcangelo ,Ramesh Sannareddy ,Sandip Saha Joy ,Lin Joyner ,Rose Malcolm ,Hima Vasudevan ,",100.0
IT Fundamentals for Cybersecurity Specialization,Launch your career in Cybersecurity. Acquire the knowledge you need to work in Cybersecurity,Information Technology,Security,Specialization,English,4.6,4996.0,Coursera,"Operating System Security, database vulnerabilities, Cybersecurity, networking basics, Cyber Attacks, Information Security (INFOSEC), IBM New Collar, Malware, Network Security, Sql Injection, ","IBM Security Learning Services ,",100.0
Applied Software Engineering Fundamentals Specialization,"Build the foundation of your career in Software. Develop hands-on experience with Git, GitHub, Linux, and Python, and learn the fundamentals of Software Engineering. ",Computer Science,Software Development,Specialization,English,4.7,201.0,Coursera,"Linux, Software Design and Architecture, Python Programming, Git and GitHub, Software Development Lifecycle (SDLC), Basic programming concepts, Careers in software engineering, Programming languages and frameworks, The Software Development Lifecycle (SDLC), Software Architecture, Shell Script, Bash (Unix Shell), ","Rav Ahuja ,Lin Joyner ,Bethany Hudnutt ,Sam Prokopchuk ,Ramesh Sannareddy ,Upkar Lidder ,Joseph Santarcangelo ,",100.0
"DevOps, Cloud, and Agile Foundations Specialization",No description available,Computer Science,Design and Product,Specialization,English,4.8,625.0,Coursera,"Cloud Native, Devops, Scrum, Cloud Computing, agile, Test-Driven Development, CI/CD, Behavior-Driven Development, Iaas PaaS Saas, Hybrid Multicloud, Agile Software Development, Scrum Methodology, ","John Rofrano ,Rav Ahuja ,",80.0
Cloud Application Development Foundations Specialization,Kickstart Your Career as a Cloud Native Developer. Learn the foundational front-end and back-end skills for developing and deploying applications on Cloud.,Information Technology,Cloud Computing,Specialization,English,4.5,342.0,Coursera,"Devops, Python Programming, Node.Js, HTML and CSS, Cloud Applications, Cloud Native, Iaas PaaS Saas, Hybrid Multicloud, Cloud Computing, Cascading Style Sheets (CSS), HTML, Git (Software), ","Rav Ahuja ,Upkar Lidder ,Michelle Saltoun ,Sachin Jambur ,",120.0
Python for Everybody Specialization,"Learn to Program and Analyze Data with Python. Develop programs to gather, clean, analyze, and visualize data.",Computer Science,Software Development,Specialization,English,4.8,202757.0,Coursera,"Json, Xml, Python Programming, Database (DBMS), Python Syntax And Semantics, Basic Programming Language, Computer Programming, Data Structure, Tuple, Web Scraping, Sqlite, SQL, ","Charles Russell Severance ,",160.0
Information Technology (IT) and Cloud Fundamentals Specialization,"Kickstart a new IT and Cloud Career . Master hardware, operating systems, programming, database, networking, storage, cybersecurity, and Cloud computing essentials. ",Information Technology,Cloud Computing,Specialization,English,4.8,278.0,Coursera,"IT Fundamentals, Cybersecurity, Cloud, Networking, hardware, Technical Support, IT Service Management (ITSM), Troubleshooting, IT Career, Software Development Process, database management, Software Application Development, ","Skills Network ,Rav Ahuja ,",140.0
"BI Foundations with SQL, ETL and Data Warehousing Specialization","Springboard for BI Analytics success. Develop hands-on skills for building data pipelines, warehouses,  reports and dashboards.",Information Technology,Data Management,Specialization,English,4.6,210.0,Coursera,"Shell Script, Bash (Unix Shell), Linux, Cloud Databases, Python Programming, Jupyter notebooks, Relational Database Management System (RDBMS), SQL, Extraction, Transformation And Loading (ETL), Apache Kafka, Apache Airflow, Data Pipelines, ","Rav Ahuja ,Sam Prokopchuk ,Ramesh Sannareddy ,Hima Vasudevan ,Yan Luo ,Jeff Grossman ,Sabrina Spillner ,",100.0
Natural Language Processing Specialization,Break into NLP. Master cutting-edge NLP techniques through four hands-on courses! Updated with the latest techniques in October '21.,Data Science,Machine Learning,Specialization,English,4.6,4787.0,Coursera,"Word2vec, Machine Translation, Sentiment Analysis, Transformers, Attention Models, Word Embeddings, Locality-Sensitive Hashing, Vector Space Models, Parts-of-Speech Tagging, N-gram Language Models, Autocorrect, Word Embedding, ","Younes Bensouda Mourri ,Łukasz Kaiser ,Eddy Shyu ,",80.0
Business Foundations Specialization,"Solve Real Business Problems. Build a foundation of core business skills in marketing, finance, accounting and operations.",Business,Business Essentials,Specialization,English,4.7,17404.0,Coursera,"Positioning (Marketing), Marketing, Marketing Strategy, Customer Satisfaction, Financial Accounting, Accounting, Financial Statement, Balance Sheet, Decision-Making, Change Management, Human Resources (HR), Discounted Cash Flow, ","Barbara E. Kahn ,Peter Fader ,Jagmohan Raju ,Brian J Bushee ,Michael Useem ,Peter Cappelli ,Michael R Roberts ,Christian Terwiesch ,",140.0
Meta React Native Specialization,"Become a cross-platform mobile app developer. Learn in-demand skills for developing reliable, scalable and user-friendly mobile apps for multiple operating systems, such as iOS and Android.",Computer Science,Mobile and Web Development,Specialization,English,4.8,564.0,Coursera,"Web Development, React (Web Framework), HTML and CSS, Mobile Development, JavaScript, Test-Driven Development, Front-End Web Development, Object-Oriented Programming (OOP), Linux, Bash (Unix Shell), Github, Version Control, ","Taught by Meta Staff ,",160.0
Mathematics for Machine Learning and Data Science Specialization,"Master the Toolkit of AI and Machine Learning. Mathematics for Machine Learning and Data Science is a beginner-friendly Specialization where you’ll learn the fundamental mathematics toolkit of machine learning: calculus, linear algebra, statistics, and probability.",Computer Science,Algorithms,Specialization,English,4.5,369.0,Coursera,"Bayesian Statistics, Machine Learning, Mathematics, Probability, Linear Regression, Linear Equation, Eigenvalues And Eigenvectors, Linear Algebra, Determinants, Calculus, Mathematical Optimization, Gradient Descent, ","Luis Serrano ,Elena Sanina ,Anshuman Singh ,Magdalena Bouza ,",60.0
Introduction to Finance and Accounting Specialization,Learn the basics of finance and accounting. Build a foundation of core business skills in finance and accounting,Business,Finance,Specialization,English,4.4,1753.0,Coursera,"Corporate Finance, Financial Accounting, Financial Statement, Accounting, Decision-Making, Discounted Cash Flow, Cash Flow Analysis, Balance Sheet, Generally Accepted Accounting Principles, Accounting Terminology, ","Jessica Wachter ,Michael R Roberts ,Brian J Bushee ,",100.0
AI Foundations for Everyone Specialization,No description available,Data Science,Data Analysis,Specialization,English,4.7,2218.0,Coursera,"Data Science, Deep Learning, Artificial Intelligence (AI), Machine Learning, Watson (Computer), Jobs, Application Programming Interfaces (API), watson, ","Rav Ahuja ,Antonio Cangiano ,",60.0
Finance & Quantitative Modeling for Analysts Specialization,No description available,Business,Finance,Specialization,English,4.5,2412.0,Coursera,"Financial Modeling, Corporate Finance, Microsoft Excel, Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Linear Programming (LP), Solver, Discounted Cash Flow, Decision-Making, ","Richard Waterman ,Don Huesman ,Richard Lambert ,Christopher D. Ittner ,Michael R Roberts ,",80.0
Machine Learning Engineering for Production (MLOps) Specialization,Become a Machine Learning expert. Productionize your machine learning knowledge and expand your production engineering capabilities.,Data Science,Machine Learning,Specialization,English,4.7,2780.0,Coursera,"Managing Machine Learning Production Systems, Deployment Pipelines, Model Pipelines, Data Pipelines, Machine Learning Engineering for Production, Human-level Performance (HLP), Concept Drift, Model baseline, Project Scoping and Design, ML Deployment Challenges, ML Metadata, Convolutional Neural Network, ","Andrew Ng ,Cristian Bartolomé Arámburu ,Robert Crowe ,Laurence Moroney ,",80.0
Business and Financial Modeling Specialization,Build Business and Financial Models. Use spreadsheet models to make data-driven financial decisions,Business,Business Essentials,Specialization,English,4.5,7555.0,Coursera,"Financial Modeling, Microsoft Excel, Simulation, Linear Programming (LP), Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Solver, Risk, Cash Flow, ","Richard Waterman ,Don Huesman ,Sergei Savin ,Senthil Veeraraghavan ,Richard Lambert ,Robert W. Holthausen ,",120.0
Business Analytics Specialization,Make Data-Driven Business Decisions. Achieve fluency in business data strategies in four discipline-specific courses.,Data Science,Data Analysis,Specialization,English,4.6,15725.0,Coursera,"Customer Analytics, Analytics, Business Analytics, Decision Tree, Predictive Analytics, Regression Analysis, Marketing Performance Measurement And Management, Simulation, Mathematical Optimization, Solver, Talent Management, Performance Management, ","Eric Bradlow ,Peter Fader ,Raghu Iyengar ,Ron Berman ,Senthil Veeraraghavan ,Sergei Savin ,Noah Gans ,Cade Massey ,Martine Haas ,Matthew Bidwell ,Brian J Bushee ,Christopher D. Ittner ,Wharton Teaching Staff ,",120.0
Excel Skills for Business Specialization,Learn Excel Skills for Business. Master Excel to add a highly valuable asset to your employability portfolio. ,Business,Business Essentials,Specialization,English,4.9,42571.0,Coursera,"Data Validation, Microsoft Excel, Microsoft Excel Macro, Pivot Table, Graphs, Spreadsheet, Chart, Concatenation, Consolization, Pivot Chart, Lookup Table, Microsoft Excel Vba, ","Nicky Bull ,Dr Prashan S. M. Karunaratne ,Professor Yvonne Breyer ,",120.0
Learn SQL Basics for Data Science Specialization,No description available,Data Science,Data Analysis,Specialization,English,4.5,8649.0,Coursera,"Data Analysis, Apache Spark, Delta Lake, SQL, Data Science, Sqlite, A/B Testing, Query String, Predictive Analytics, Presentation Skills, creating metrics, Exploratory Data Analysis, ","Sadie St. Lawrence ,Katrina Glaeser Poole ,Brooke Wenig ,Conor Murphy ,Don Noxon ,",80.0
The Materiality of ESG Factors Specialization,Learn about ESG Factors When Investing. Analyze the importance of ESG investing. Identify how the ESG approach should be an essential piece of your strategy based on various factors impacting and driving value.,Business,Finance,Specialization,English,4.7,643.0,Coursera,"ESG, Investment, Climate Change, Finance, social activism, ","Witold Henisz ,Christopher Geczy ,Sarah Light ,Mary-Hunter McDonnell ,",80.0
AI For Business Specialization,"Learn the Fundamentals of  AI and Machine Learning. Develop a deployment strategy for incorporating AI, ML, and Big Data into your organization that will take advantage of cutting-edge technologies",Business,Leadership and Management,Specialization,English,4.7,169.0,Coursera,"Artificial Intelligence (AI), Machine Learning, Management, Analytics, Fraud Prevention, ","Kartik Hosanagar ,Prasanna Tambe ,Michael R Roberts ,Raghu Iyengar ,Matthew Bidwell ,Peter Cappelli ,Lynn Wu ,Kevin Werbach ,",80.0
Digital Product Management Specialization,Implement a modern approach to product management. Master the fundamentals that create great teams and products,Computer Science,Design and Product,Specialization,English,4.8,2681.0,Coursera,"hypothesis-driven development, Product Management, Design Thinking, agile, Lean Startup, Product/Market Fit, Innovation Pipeline, agile user stories, User Experience Design (UXD), Agile Software Development, Software Development, Usability Testing, ","Alex Cowan ,",100.0
Leading the Modern Day Business Specialization,No description available,Business,Leadership and Management,Specialization,English,4.7,2699.0,Coursera,"Marketing, Business Strategy, Leadership And Management, Storytelling, Innovation, Technology Disruption, Digital Trends, Competitive Lifecycle, Digital Strategy, Strategic Management, Strategic Thinking, Design Thinking, ","Michael Lenox ,Amane Dannouni ,Sonja Rueger ,Ching Fong Ong ,Jeanne M. Liedtka ,Alex Cowan ,",80.0
Graphic Design Specialization,Make Compelling Design. Learn and apply the principles of graphic design towards a comprehensive branding project. ,Arts and Humanities,Music and Art,Specialization,English,4.7,15224.0,Coursera,"Visual Communication, Branding Communication, Graphic Design, Art History, Typography, Creativity, Graphics, Design Theory, Color Theory, Adobe Illustrator, History, Adobe Indesign, ","Michael Worthington ,Anther Kiley ,Gail Swanlund ,Louise Sandhaus ,Lorraine Wild ,",120.0
Security Analyst Fundamentals Specialization,Launch your career in Cybersecurity.. Acquire the knowledge you need to work as a Cybersecurity Analyst.,Information Technology,Security,Specialization,English,4.8,749.0,Coursera,"threat intelligence, Digital Forensics, Data Breach, cybersecurity analyst, Computer Security Incident Management, scripting, forensics, Penetration Test, Cybersecurity, Application Security, network defensive tactics, security analyst, ","IBM Security Learning Services ,",80.0
Improve Your English Communication Skills Specialization,Improve Your English Communication Skills. Write and speak more professionally in English to increase your business success.,Language Learning,Learning English,Specialization,English,4.8,15297.0,Coursera,"Professional, Email Writing, Presentation, Writing, Communication, Stress, Public Speaking, Speech, ","Gerry Landers ,Amalia B. Stephens ,Karen Peterson ,",100.0
Entrepreneurship Specialization,"Turn Your Idea into a Funded Business. Develop, launch, fund and grow your own business",Business,Entrepreneurship,Specialization,English,4.8,4764.0,Coursera,"Growth Strategies, Exit Strategy, Finance, Entrepreneurship, Discovery-Driven Planning, Elevator Pitch, Planning, Brand Management, Choosing Advisors, Brand, Strategic Management, Marketing, ","Lori Rosenkopf ,Karl  T. Ulrich ,Ethan Mollick ,Kartik Hosanagar ,David Hsu ,",120.0
Foundations of Positive Psychology  Specialization,Positive Psychology:  Well-being for life. Master strategies and tools that enable individuals and organizations to thrive,Business,Business Essentials,Specialization,English,4.8,6479.0,Coursera,"Gratitude, goal setting, Research Methodology, Resilience, Character Strengths And Virtues, Positive Education, Positive Psychology, Savoring, Plan, Communication, Mindfulness, Flourishing, ","Martin E.P. Seligman, Ph.D. ,James Pawelski, Ph.D.  ,Claire Robertson-Kraft, Ph.D. ,Angela Duckworth, Ph.D. ,Karen Reivich, Ph.D. ,",100.0
Data Science Specialization,"Launch Your Career in Data Science. A ten-course introduction to data science, developed and taught by leading professors.",Data Science,Data Analysis,Specialization,English,4.5,38510.0,Coursera,"Github, Machine Learning, R Programming, Regression Analysis, Data Science, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis, ","Jeff Leek, PhD ,Roger D. Peng, PhD ,Brian Caffo, PhD ,",220.0
Supply Chain Management Specialization,"Supply Chain Management. Master the Fundamentals: Logistics, Operations, Planning, Sourcing, and Strategy",Business,Business Essentials,Specialization,English,4.8,11037.0,Coursera,"Forecasting, Logistics, Supply Chain, Lean Six Sigma, Supply Chain Risk Management, Warehouse Management, Logistics Planning, Inventory, Six Sigma, Microsoft Excel, Planning, Demand Forecasting, ","Rudolf Leuschner, Ph.D. ,",120.0
Fintech: Foundations & Applications of Financial Technology Specialization,No description available,Business,Business Essentials,Specialization,English,4.6,3316.0,Coursera,"Investment Management, Cryptocurrency, regulation, Blockchain, ","Christopher Geczy ,Natasha Sarin ,Jessica Wachter ,Sarah Hammer ,David Musto ,",80.0
Microsoft 365 Fundamentals Specialization,Pursue your passion and improve your productivity. Learn how to use the best-in-class suite of apps that help you stay connected and get things done.,Business,Business Essentials,Specialization,English,4.7,1123.0,Coursera,"Create and maintain professional looking documents, Create and edit a workbook with multiple sheets, Represent data visually, Create and manage presentations, Describe the apps and services available in a Microsoft 365 subscription, Documents, Microsoft Word, Microsoft Excel, Chart, Worksheet, Microsoft PowerPoint, Presentation, "," Microsoft ,",100.0
Search Engine Optimization (SEO) Specialization,Become an SEO Expert. Master search engine optimization tools and strategies,Business,Marketing,Specialization,English,4.7,10289.0,Coursera,"Search Algorithm, Search Engine Optimization (SEO), Mathematical Optimization, Semantics, Social Media, Keyword Research, Marketing, Content Marketing, Social Media Marketing, ","Rebekah May ,Eric Enge ,",100.0
AI Product Management Specialization,"Manage the Design & Development of ML Products. Understand how machine learning works and when and how it can be applied to solve problems.  Learn to apply the data science process and best practices to lead machine learning projects,  and how to develop human-centered AI products which ensure privacy and ethical standards.",Data Science,Machine Learning,Specialization,English,4.7,165.0,Coursera,"Data Science, Artificial Intelligence (AI), Machine Learning, Predictive Analytics, Modeling, Artificial Neural Network, Project Management, Privacy, Design Thinking, Ethics, ","Jon Reifschneider ,",80.0
Introduction to Programming with Python and Java Specialization,"Boost Your Computer Programming Skills. With minimal previous exposure, learn two popular programming languages at an accelerated pace.",Computer Science,Software Development,Specialization,English,4.4,960.0,Coursera,"Programming Principles, Python Programming, Java Programming, Data Structure, Computer Programming, Python Tools, Python Syntax And Semantics, Data Science, Python Libraries, Data Analysis, Data Visualization (DataViz), Java Tools, ","Brandon Krakowsky ,",80.0
Construction Management Specialization,Construction Project Management and Planning. Develop and understand the foundations of project planning and scheduling techniques,Business,Leadership and Management,Specialization,English,4.8,6900.0,Coursera,"Schedule, Cost Estimate, Cost Control, Finance, Real Estate finance, Project Management, Construction Management, Work Breakdown Structure, Project Planning, Linear Scheduling Method, Program Evaluation And Review Technique (PERT), Critical Path Method, ","Ibrahim Odeh, Ph.D., MBA ,",140.0
IBM Introduction to Machine Learning Specialization,Learn machine learning through real use cases. Build the skills for a career in one of the most relevant fields of modern AI through hands-on projects and curriculum from IBM’s experts.,Data Science,Data Analysis,Specialization,English,4.7,251.0,Coursera,"Machine Learning Regression, Machine Learning Classification, Machine Learning, Unsupervised Learning, Exploratory Data Analysis, Artificial Intelligence (AI), Feature Engineering, Statistical Hypothesis Testing, Regression Analysis, Supervised Learning, Linear Regression, Ridge Regression, ","Joseph Santarcangelo ,Svitlana (Lana) Kramar ,Mark J Grover ,Miguel Maldonado ,Yan Luo ,Xintong Li ,",120.0
Data Analysis and Presentation Skills: the PwC Approach Specialization,"Make Smarter Business Decisions With Data Analysis. Understand data, apply data analytics tools and create effective business intelligence presentations",Business,Business Essentials,Specialization,English,4.7,9541.0,Coursera,"Data Analysis, Microsoft Excel, Data Visualization (DataViz), Presentation, Data-Informed Decision-Making, Big Data, Pivot Table, Data Cleansing, Dashboard (Business), Data Virtualization, Communication, Presentation Design, ","Alex Mannella ,",120.0
AWS Fundamentals Specialization,No description available,Information Technology,Cloud Computing,Specialization,English,4.6,10966.0,Coursera,"AWS Identity and Access Management, Networking on AWS, AWS Management Console, Cloud Computing, aws security, aws, Information Privacy, Cloud Management, security, Cloud Applications, AWS Lambda, Amazon Lex, ","Morgan Willis ,Seph Robinson ,Rudy Chetty ,Hong Pham ,Alex G. ,Wes Gruver ,Bobbie Atristain ,Rick Hurst ,Adam Becker ,",100.0
Data Science: Foundations using R Specialization,No description available,Data Science,Data Analysis,Specialization,English,4.6,5839.0,Coursera,"Data Science, Machine Learning, Github, R Programming, Exploratory Data Analysis, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis, ","Jeff Leek, PhD ,Roger D. Peng, PhD ,Brian Caffo, PhD ,",100.0
Python 3 Programming Specialization,Become a Fluent Python Programmer. Learn the fundamentals and become an independent programmer.,Computer Science,Software Development,Specialization,English,4.7,15871.0,Coursera,"Json, Computer Programming, Python Programming, Sorting, ","Paul Resnick ,Steve Oney ,Christopher Brooks ,",100.0
Reinforcement Learning Specialization,Master the Concepts of Reinforcement Learning. Implement a complete RL solution and understand how to apply AI tools to solve real-world problems.,Data Science,Machine Learning,Specialization,English,4.8,2965.0,Coursera,"Artificial Intelligence (AI), Machine Learning, Reinforcement Learning, Function Approximation, Intelligent Systems, ","Martha White ,Adam White ,",100.0
Accelerated Computer Science Fundamentals Specialization,Data Structures and Algorithms in C++. Learn fundamentals of computer science while implementing efficient data structures in C++.,Computer Science,Algorithms,Specialization,English,4.7,2340.0,Coursera,"Run-time Analysis, Algorithms, Hash Table, Trees (Data Structures), Object-Oriented Programming (OOP), ","Wade Fagen-Ulmschneider ,",60.0
Digital Marketing Specialization,"Drive Customer Behavior Online. A six-course overview of the latest digital marketing skills, taught by industry experts.",Business,Marketing,Specialization,English,4.6,16501.0,Coursera,"Digital Marketing, Marketing, Pricing Strategies, Marketing Mix, Product Strategies, Data Collection, Analytics, Data Analysis, Data Visualization (DataViz), Marketing Analytics, Marketing Performance, Marketing Channel, ","Aric Rindfleisch ,Kevin Hartman ,Mike Yao ,Vishal Sachdev ,",160.0
DevOps on AWS Specialization,Launch your career in DevOps. Master DevOps methodologies and AWS services to deliver faster and more reliable updates to your customers,Computer Science,Software Development,Specialization,English,4.7,811.0,Coursera,"Continuous Integration, Devops, Monitoring and Logging, Continuous Delivery, Microservices, AWS Identity and Access Management, Networking on AWS, AWS Management Console, Cloud Computing, aws security, Test Automation, AWS cloud, ","Morgan Willis ,Seph Robinson ,Rafael Lopes ,Russell Sayers ,Alana Layton ,",60.0
Generative Adversarial Networks (GANs) Specialization,Break into the GANs space. Master cutting-edge GANs techniques through three hands-on courses!,Data Science,Machine Learning,Specialization,English,4.7,1902.0,Coursera,"Generator, Image-to-Image Translation, glossary of computer graphics, Discriminator, Generative Adversarial Networks, Controllable Generation, WGANs, Conditional Generation, Components of GANs, DCGANs, Bias in GANs, StyleGANs, ","Sharon Zhou ,Eda Zhou ,Eric Zelikman ,",60.0
Data Visualization with Tableau Specialization,Visualize Business Data with Tableau. Create powerful business intelligence reports,Data Science,Data Analysis,Specialization,English,4.5,6556.0,Coursera,"Storyboarding, Map, Tableau Software, Data Visualization (DataViz), Data Virtualization, Visualization (Computer Graphics), Data Analysis, Visual Analytics, Interactive Visualization, ","Desiree' Abbott ,Govind Acharya ,Hunter Whitney ,Suk S. Brar, M.B.A. ,",120.0
Certified in Cybersecurity Specialization,Advance Your IT Career with Cybersecurity Skills. Gain Flexibility with Self-Paced Learning,Information Technology,Security,Specialization,English,4.6,114.0,Coursera,"Cybersecurity, Network Security, security principles, Risk, Information Assurance, security, governance, Computer Security Incident Management, Business Continuity, Disaster Recovery, Logical Controls, administrative controls, ","(ISC)² Education & Training ,",160.0
Business Strategy Specialization,Steer Your Business to Success. Generate value and demonstrate global impact in four courses. ,Business,Business Strategy,Specialization,English,4.8,2524.0,Coursera,"Strategic Analysis, Strategic Management, Strategic Thinking, Business Strategy, Capabilities Analysis, Competitive Position, Industry Structure, business competition, Mergers And Acquisitions (M&A), innovation strategy, growth strategy, Strategy Implementation, ","Michael Lenox ,Jared Harris ,Scott Snell ,",120.0
Applied Data Science with Python Specialization,"Gain new insights into your data  . Learn to apply data science methods and techniques, and acquire analysis skills.",Data Science,Data Analysis,Specialization,English,4.5,25522.0,Coursera,"Text Mining, Python Programming, Pandas, Matplotlib, Numpy, Data Cleansing, Data Virtualization, Data Visualization (DataViz), Machine Learning (ML) Algorithms, Machine Learning, Scikit-Learn, Natural Language Toolkit (NLTK), ","Christopher Brooks ,Kevyn Collins-Thompson ,V. G. Vinod Vydiswaran ,Daniel Romero ,",100.0
Human Resource Management: HR for People Managers Specialization,"Become a better manager of people. Develop strategies and skills for hiring, managing performance, and rewarding employees.",Business,Business Strategy,Specialization,English,4.8,10827.0,Coursera,"Performance Management, interviewing, Human Resources (HR), Onboarding, managing people, Resource Management, Hr Strategy, Recruiting, Recruitment, Performance Appraisal, Organizational Culture, Incentive, ","John W. Budd ,Amy Simon ,Stacy Doepner-Hove ,Larry Bourgerie ,Alan Benson ,Mike Davis ,",120.0
Achieving Personal and Professional Success Specialization,"Learn How to Maximize Your Potential. Define Success, Communicate Effectively, and Use Influence to Accomplish Personal and Career Goals ",Personal Development,Personal Development,Specialization,English,4.7,2296.0,Coursera,"goal setting, Happiness, Personality Development, Personal Development, Communication, Negotiation, Deception, ","Richard Shell ,Maurice Schweitzer ,Stewart D.  Friedman ,Cade Massey ,",80.0
Regulatory Compliance Specialization,Learn to create a culture of compliance. Master the strategies for building an effective compliance program to manage risk,Business,Business Essentials,Specialization,English,4.8,1789.0,Coursera,"Risk Management, Business Strategy, Compliance, Human Resources Management, Brand Management, Strategic Planning, Management, Organizational Behavior, Information Privacy, Data Management, Privacy Compliance, Operations Management, ","Andrew Kandel ,Lauren Steinfeld ,",80.0
